Episode Number,Score,Epsilon Value,Number of Actions,Missed Deliveries
0,0.7338034266204446,1.0,355,0
1,0.2602180354638127,0.97,133,0
2,0.23662340913009275,0.9409,139,0
3,0.7626809747228381,0.912673,355,0
4,0.39155852282523185,0.8852928099999999,191,0
5,0.6915585228252319,0.8587340256999999,349,0
6,0.31302878279637275,0.8329720049289998,156,0
7,0.17852974002885907,0.8079828447811298,94,0
8,0.2602180354638127,0.7837433594376959,132,0
9,0.6334648537239981,0.7602310586545651,324,0
10,0.37324681826018546,0.7374241268949281,182,0
11,0.2841512346939791,0.7153014030880802,125,0
12,0.3183117045650464,0.6938423609954377,152,0
13,0.2602180354638127,0.6730270901655746,130,0
14,0.21302878279637275,0.6528362774606074,106,0
15,0.21831170456504642,0.6332511891367891,105,0
16,0.2549351136951391,0.6142536534626855,135,0
17,0.2785297400288591,0.5958260438588049,144,0
18,0.42605756559274555,0.5779512625430407,219,0
19,0.21302878279637275,0.5606127246667495,105,0
20,0.2894341564626528,0.543794342926747,149,0
21,0.23662340913009275,0.5274805126389446,144,0
22,0.1947170782313264,0.5116560972597762,96,0
23,0.21831170456504637,0.49630641434198286,110,0
24,0.21831170456504642,0.48141722191172337,99,0
25,0.18943415646265271,0.4669747052543717,99,0
26,0.21831170456504642,0.4529654640967405,126,0
27,0.3387477754926717,0.4393765001738383,194,0
28,0.2894341564626528,0.42619520516862314,143,0
29,0.22571899269629903,0.4134093490135644,154,0
30,0.20212436636257905,0.4010070685431575,148,0
31,0.1947170782313264,0.38897685648686275,120,0
32,0.20212436636257905,0.37730755079225686,119,0
33,0.2785297400288591,0.36598832426848915,187,0
34,0.21831170456504642,0.35500867454043444,147,0
35,0.21302878279637275,0.3443584143042214,94,0
36,0.18943415646265271,0.33402766187509475,93,0
37,0.1947170782313264,0.3240068320188419,88,0
38,0.23662340913009275,0.31428662705827665,126,0
39,0.21302878279637275,0.3048580282465283,122,0
40,0.18943415646265271,0.29571228739913247,92,0
41,0.21302878279637275,0.2868409187771585,150,0
42,0.2841512346939791,0.2782356912138437,136,0
43,0.21302878279637275,0.2698886204774284,100,0
44,0.21302878279637275,0.26179196186310555,112,0
45,0.21302878279637275,0.25393820300721237,118,0
46,0.1947170782313264,0.246320056916996,127,0
47,0.21302878279637275,0.2389304552094861,128,0
48,0.18943415646265271,0.23176254155320153,106,0
49,0.21302878279637275,0.22480966530660546,115,0
50,0.1947170782313264,0.2180653753474073,88,0
51,0.1947170782313264,0.21152341408698508,99,0
52,0.23662340913009275,0.2051777116643755,132,0
53,0.18943415646265271,0.19902238031444425,95,0
54,0.18943415646265271,0.19305170890501092,90,0
55,0.23134048736141913,0.18726015763786058,110,0
56,0.09471707823132636,0.18164235290872477,92,0
57,0.18943415646265271,0.176193082321463,103,0
58,0.21302878279637275,0.1709072898518191,120,0
59,0.13662340913009272,0.16578007115626453,88,0
60,0.18943415646265271,0.1608066690215766,93,0
61,0.1947170782313264,0.1559824689509293,108,0
62,0.09471707823132636,0.1513029948824014,88,0
63,0.09471707823132636,0.14676390503592937,88,0
64,0.23662340913009275,0.1423609878848515,131,0
65,0.3077458610276991,0.13809015824830592,139,0
66,0.09471707823132636,0.13394745350085674,89,0
67,0.18943415646265271,0.12992902989583105,97,0
68,0.18943415646265271,0.12603115899895612,99,0
69,0.18943415646265271,0.12225022422898742,89,0
70,0.21302878279637275,0.1185827175021178,167,0
71,0.09471707823132636,0.11502523597705426,88,0
72,0.13662340913009272,0.11157447889774263,88,0
73,0.1947170782313264,0.10822724453081034,169,0
74,0.09471707823132636,0.10498042719488604,89,0
75,0.18943415646265271,0.10183101437903945,90,0
76,0.21302878279637275,0.09877608394766826,141,0
77,0.1947170782313264,0.09581280142923822,218,0
78,0.18943415646265271,0.09293841738636106,92,0
79,0.09471707823132636,0.09015026486477024,89,0
80,0.09471707823132636,0.08744575691882712,89,0
81,0.09471707823132636,0.0848223842112623,88,0
82,0.18943415646265271,0.08227771268492444,90,0
83,0.21302878279637275,0.0798093813043767,228,0
84,0.18943415646265271,0.07741509986524539,93,0
85,0.09471707823132636,0.07509264686928803,89,0
86,0.09471707823132636,0.07283986746320939,88,0
87,0.09471707823132636,0.0706546714393131,91,0
88,0.1947170782313264,0.06853503129613371,154,0
89,0.21302878279637275,0.0664789803572497,102,0
90,0.18943415646265271,0.0644846109465322,92,0
91,0.09471707823132636,0.06255007261813623,89,0
92,0.18943415646265271,0.060673570439592144,102,0
93,0.13662340913009272,0.05885336332640438,88,0
94,0.21302878279637275,0.057087762426612246,97,0
95,0.09471707823132636,0.05537512955381388,88,0
96,0.09471707823132636,0.053713875667199464,88,0
97,0.09471707823132636,0.05210245939718348,88,0
98,0.09471707823132636,0.05053938561526797,88,0
99,0.09471707823132636,0.04902320404680993,88,0
100,0.09471707823132636,0.04755250792540563,88,0
101,0.1947170782313264,0.04612593268764346,118,0
102,0.09471707823132636,0.044742154707014155,88,0
103,0.21302878279637275,0.04339989006580373,115,0
104,0.21302878279637275,0.04209789336382962,114,0
105,0.09471707823132636,0.04083495656291473,88,0
106,0.09471707823132636,0.039609907866027284,88,0
107,0.09471707823132636,0.03842161063004646,88,0
108,0.09471707823132636,0.03726896231114507,89,0
109,0.1947170782313264,0.036150893441810716,130,0
110,0.18943415646265271,0.0350663666385564,116,0
111,0.18943415646265271,0.0340143756393997,119,0
112,0.09471707823132636,0.03299394437021771,89,0
113,0.09471707823132636,0.03200412603911118,88,0
114,0.1947170782313264,0.031044002257937842,173,0
115,0.18943415646265271,0.030112682190199705,113,0
116,0.1947170782313264,0.02920930172449371,258,0
117,0.09471707823132636,0.0283330226727589,89,0
118,0.18943415646265271,0.027483031992576134,92,0
119,0.09471707823132636,0.026658541032798848,88,0
120,0.09471707823132636,0.02585878480181488,89,0
121,0.09471707823132636,0.025083021257760435,88,0
122,0.09471707823132636,0.024330530620027623,88,0
123,0.09471707823132636,0.02360061470142679,88,0
124,0.09471707823132636,0.022892596260383986,88,0
125,0.09471707823132636,0.022205818372572468,88,0
126,0.25805041156465974,0.021539643821395293,385,0
127,0.09471707823132636,0.020893454506753433,88,0
128,0.2549351136951391,0.02026665087155083,162,0
129,0.09471707823132636,0.019658651345404305,89,0
130,0.09471707823132636,0.019068891805042176,89,0
131,0.21302878279637275,0.018496825050890908,120,0
132,0.09471707823132636,0.017941920299364183,88,0
133,0.09471707823132636,0.017403662690383254,88,0
134,0.21302878279637275,0.016881552809671758,99,0
135,0.09471707823132636,0.016375106225381603,88,0
136,0.09471707823132636,0.015883853038620156,88,0
137,0.09471707823132636,0.01540733744746155,88,0
138,0.09471707823132636,0.014945117324037704,88,0
139,0.09471707823132636,0.014496763804316573,88,0
140,0.09471707823132636,0.014061860890187074,88,0
141,0.09471707823132636,0.013640005063481462,88,0
142,0.09471707823132636,0.013230804911577018,88,0
143,0.09471707823132636,0.012833880764229706,88,0
144,0.18943415646265271,0.012448864341302815,122,0
145,0.09471707823132636,0.012075398411063731,88,0
146,0.09471707823132636,0.011713136458731819,88,0
147,0.09471707823132636,0.011361742364969863,88,0
148,0.09471707823132636,0.011020890094020767,89,0
149,0.09471707823132636,0.010690263391200144,89,0
