Episode Number,Score,Epsilon Value,Number of Actions,Missed Deliveries
0,0.23662340913009275,1.0,116,0
1,0.21831170456504642,0.98,95,0
2,0.21831170456504642,0.9603999999999999,97,0
3,2.215241412013042,0.9411919999999999,645,0
4,0.5517765582890446,0.9223681599999999,308,0
5,0.35493511369513914,0.9039207967999999,177,0
6,0.37324681826018546,0.8858423808639999,187,0
7,0.7130287827963728,0.8681255332467199,363,0
8,0.3623424018263917,0.8507630225817855,208,0
9,0.2549351136951391,0.8337477621301498,149,0
10,0.29684144459390543,0.8170728068875467,160,0
11,0.4785297400288592,0.8007313507497958,287,0
12,0.7367981870573315,0.7847167237347998,397,0
13,1.6275820660584919,0.7690223892601038,553,0
14,0.5496521919264655,0.7536419414749017,313,0
15,1.0346305631581787,0.7385691026454038,446,0
16,0.20212436636257905,0.7237977205924956,113,0
17,11.182947759202241,0.7093217661806457,667,1
18,0.32043607092762544,0.6951353308570327,213,0
19,0.39684144459390547,0.6812326242398921,218,0
20,11.172729723738428,0.6676079717550942,667,1
21,0.23662340913009275,0.6542558123199923,145,0
22,11.243165794666053,0.6411706960735924,667,1
23,0.37324681826018546,0.6283472821521207,213,0
24,0.5732468182601855,0.6157803365090783,348,0
25,0.2785297400288591,0.6034647297788966,145,0
26,0.554935113695139,0.5913954351833187,332,0
27,0.23134048736141913,0.5795675264796523,117,0
28,0.4257189926962991,0.5679761759500592,281,0
29,1.5767549295207575,0.5566166524310581,548,0
30,1.7698269698537046,0.5454843193824369,583,0
31,0.16021803546381272,0.5345746329947881,94,0
32,0.17852974002885907,0.5238831403348924,123,0
33,0.2549351136951391,0.5134054775281945,134,0
34,0.37324681826018546,0.5031373679776306,201,0
35,0.2623424018263918,0.493074620618078,144,0
36,0.20212436636257905,0.48321312820571644,122,0
37,1.6267549295207577,0.4735488656416021,593,0
38,0.5440306972613455,0.46407788832877,299,0
39,0.23662340913009275,0.45479633056219465,153,0
40,0.43662340913009273,0.44570040395095073,245,0
41,0.20212436636257905,0.4367863958719317,142,0
42,11.381161965736108,0.42805066795449304,667,1
43,11.169909741228778,0.4194896545954032,667,1
44,0.7109926792878846,0.41109986150349515,375,0
45,1.2092271039568714,0.4028778642734252,482,0
46,0.4915585228252319,0.39482030698795667,303,0
47,0.9315585228252321,0.38692390084819756,438,0
48,1.211515265288658,0.3791854228312336,511,0
49,0.3387477754926718,0.3716017143746089,229,0
50,0.2785297400288591,0.36416968008711675,229,0
51,0.2602180354638127,0.3568862864853744,139,0
52,0.35143798539259813,0.3497485607556669,209,0
53,0.48065410639143813,0.34275358954055357,343,0
54,0.23134048736141913,0.3358985177497425,175,0
55,0.13662340913009272,0.3291805473947476,97,0
56,0.2549351136951391,0.32259693644685267,192,0
57,0.13662340913009272,0.3161449977179156,92,0
58,0.13662340913009272,0.3098220977635573,88,0
59,0.48065410639143824,0.30362565580828615,331,0
60,0.5204360709276254,0.2975531426921204,297,0
61,0.685153149158952,0.291602079838278,387,0
62,0.4999134849268522,0.2857700382415124,374,0
63,0.2785297400288591,0.2800546374766822,260,0
64,10.954418019173382,0.2744535447271485,667,1
65,0.28381266179753273,0.2689644738326056,202,0
66,1.2523966423209971,0.26358518435595346,556,0
67,0.4021243663625791,0.25831348066883436,232,0
68,0.42784335905887816,0.2531472110554577,225,0
69,11.048448716434727,0.2480842668343485,667,1
70,0.21831170456504642,0.24312258149766153,174,0
71,0.18943415646265271,0.2382601298677083,112,0
72,0.18943415646265271,0.23349492727035415,116,0
73,0.2947170782313264,0.22882502872494703,148,0
74,0.2947170782313264,0.2242485281504481,127,0
75,0.2785297400288591,0.21976355758743912,221,0
76,0.23662340913009275,0.21536828643569034,119,0
77,0.21302878279637275,0.21106092070697655,149,0
78,0.23662340913009275,0.206839702292837,124,0
79,0.4732468182601855,0.20270290824698026,218,0
80,0.21302878279637275,0.19864885008204064,96,0
81,0.21302878279637275,0.19467587308039982,97,0
82,0.21302878279637275,0.19078235561879184,99,0
83,0.2841512346939791,0.186966708506416,123,0
84,0.2841512346939791,0.18322737433628766,123,0
85,0.3077458610276991,0.1795628268495619,143,0
86,0.17852974002885907,0.17597157031257069,106,0
87,0.17852974002885907,0.17245213890631925,97,0
88,1.9625171797536307,0.16900309612819286,607,0
89,0.21831170456504642,0.16562303420562902,101,0
90,0.21831170456504642,0.16231057352151643,98,0
91,0.23662340913009275,0.1590643620510861,109,0
92,0.23662340913009275,0.15588307481006436,112,0
93,0.21831170456504642,0.1527654133138631,98,0
94,0.21831170456504642,0.1497101050475858,98,0
95,0.21831170456504642,0.14671590294663409,99,0
96,0.21831170456504642,0.1437815848877014,101,0
97,0.5116560208564108,0.1409059531899474,299,0
98,0.24403069726134544,0.13808783412614842,205,0
99,0.4644667681889709,0.13532607744362546,315,0
100,0.13662340913009272,0.13261955589475294,130,0
101,0.17852974002885907,0.12996716477685788,129,0
102,0.13662340913009272,0.12736782148132073,105,0
103,0.13662340913009272,0.12482046505169431,96,0
104,0.35705948005771815,0.12232405575066042,251,0
105,0.13662340913009272,0.11987757463564722,143,0
106,0.3260575655927455,0.11748002314293426,162,0
107,0.23134048736141913,0.11513042268007558,165,0
108,0.3915585228252318,0.11282781422647406,278,0
109,0.32043607092762544,0.11057125794194458,222,0
110,10.933634140172222,0.10835983278310568,667,1
111,0.09471707823132636,0.10619263612744358,95,0
112,0.1947170782313264,0.1040687834048947,112,0
113,0.2841512346939791,0.1019874077367968,127,0
114,0.21302878279637275,0.09994765958206087,123,0
115,0.5154917220553983,0.09794870639041964,242,0
116,0.2841512346939791,0.09598973226261125,123,0
117,0.18943415646265271,0.09406993761735902,96,0
118,0.2841512346939791,0.09218853886501184,126,0
119,0.18943415646265271,0.09034476808771161,95,0
120,0.2841512346939791,0.08853787272595737,127,0
121,0.18943415646265271,0.08676711527143822,92,0
122,0.2841512346939791,0.08503177296600946,123,0
123,0.18943415646265271,0.08333113750668926,92,0
124,0.2841512346939791,0.08166451475655548,123,0
125,0.2841512346939791,0.08003122446142437,123,0
126,0.2841512346939791,0.07843059997219588,123,0
127,0.2841512346939791,0.07686198797275196,123,0
128,0.21302878279637275,0.07532474821329692,102,0
129,0.2841512346939791,0.07381825324903098,123,0
130,0.2841512346939791,0.07234188818405035,124,0
131,0.2841512346939791,0.07089505042036935,123,0
