Episode Number,Score,Epsilon Value,Number of Actions,Missed Deliveries
0,21.611756596474166,1.0,827,2
1,20.2745852348322,0.99,827,2
2,20.60739290691989,0.9801,658,2
3,30.23365872298905,0.970299,827,3
4,30.267320812999944,0.96059601,827,3
5,20.257049879858123,0.9509900498999999,827,2
6,10.291261955881863,0.941480149401,827,1
7,11.862409031489223,0.9320653479069899,671,1
8,12.207681756358689,0.9227446944279201,827,1
9,30.22405269664742,0.9135172474836408,827,3
10,10.9065717075391,0.9043820750088044,703,1
11,11.137215005299966,0.8953382542587164,827,1
12,2.7714280820478003,0.8863848717161292,779,0
13,10.173464942590059,0.8775210229989678,658,1
14,10.533350491509932,0.8687458127689782,658,1
15,20.257063148057114,0.8600583546412884,827,2
16,20.27866153461099,0.8514577710948755,827,2
17,11.519157843838245,0.8429431933839268,827,1
18,20.574080409928783,0.8345137614500875,827,2
19,20.27493330601593,0.8261686238355866,827,2
20,10.199055372284676,0.8179069375972308,658,1
21,20.81761732339882,0.8097278682212584,827,2
22,11.836978100795324,0.8016305895390459,827,1
23,11.633003707572449,0.7936142836436554,827,1
24,10.39923066282828,0.7856781408072188,827,1
25,0.98872801491513,0.7778213593991467,742,0
26,1.911536181337629,0.7700431458051551,795,0
27,10.459403246378407,0.7623427143471035,631,1
28,11.17080822376883,0.7547192872036326,655,1
29,10.923822652108072,0.7471720943315961,827,1
30,10.230076777932354,0.7397003733882802,827,1
31,10.224118952541014,0.7323033696543975,827,1
32,21.58679888939523,0.7249803359578534,827,2
33,11.159713514074102,0.7177305325982749,827,1
34,20.266497526746402,0.7105532272722921,827,2
35,30.223223252759237,0.7034476949995692,827,3
36,20.148870779068055,0.6964132180495735,658,2
37,20.203981660981306,0.6894490858690777,658,2
38,20.1688869702076,0.682554595010387,658,2
39,30.245973787666735,0.6757290490602831,827,3
40,30.19640290882701,0.6689717585696803,827,3
41,0.12131128658490588,0.6622820409839835,458,0
42,21.628103035620484,0.6556592205741436,827,2
43,20.229293511810962,0.6491026283684022,827,2
44,30.254103547920675,0.6426116020847181,827,3
45,10.98754638381437,0.6361854860638709,724,1
46,10.199678855473227,0.6298236312032323,827,1
47,30.178265537457317,0.6235253948912,827,3
48,20.816903855488523,0.617290140942288,827,2
49,10.716579951756446,0.611117239532865,631,1
50,30.24148860645639,0.6050060671375364,827,3
51,30.215336102658295,0.598956006466161,827,3
52,20.156210909112744,0.5929664464014994,658,2
53,20.21253751131379,0.5870367819374844,827,2
54,20.21293263435746,0.5811664141181095,827,2
55,20.691631966632592,0.5753547499769285,827,2
56,30.186927154554382,0.5696012024771592,827,3
57,20.176932996976213,0.5639051904523875,827,2
58,0.9611693092711393,0.5582661385478637,664,0
59,20.16997012790652,0.5526834771623851,658,2
60,20.207305855957905,0.5471566423907612,827,2
61,20.226948060446507,0.5416850759668536,827,2
62,21.18895329925779,0.536268225207185,827,2
63,0.6700846660423546,0.5309055429551132,646,0
64,20.767833504571676,0.525596487525562,691,2
65,10.193122936464755,0.5203405226503064,827,1
66,30.084482094059997,0.5151371174238033,827,3
67,30.181924756335096,0.5099857462495653,827,3
68,20.20414865825329,0.5048858887870696,827,2
69,30.140168186059846,0.4998370298991989,827,3
70,20.18209179158587,0.49483865960020695,658,2
71,20.29687601513851,0.4898902730042049,658,2
72,30.215445602206398,0.48499137027416284,827,3
73,30.100006569458877,0.4801414565714212,827,3
74,20.960764748959146,0.47534004200570695,827,2
75,20.147804675324753,0.4705866415856499,827,2
76,30.13130727238557,0.46588077516979337,827,3
77,20.140496809084055,0.46122196741809546,827,2
78,0.7931354006103786,0.4566097477439145,492,0
79,20.231564559161853,0.45204365026647536,827,2
80,30.15049509979583,0.4475232137638106,827,3
81,20.971403761812663,0.4430479816261725,827,2
82,21.13158256212128,0.43861750180991077,827,2
83,11.464455416449102,0.43423132679181164,827,1
84,30.209909066675902,0.4298890135238935,827,3
85,20.26304064469582,0.4255901233886546,827,2
86,1.0755441575475757,0.421334222154768,601,0
87,0.1781248561808461,0.41712087993322033,384,0
88,30.142094769670482,0.41294967113388814,827,3
89,11.42036397277701,0.40882017442254925,827,1
90,12.040023238589814,0.4047319726783238,710,1
91,30.190353468931423,0.40068465295154054,827,3
92,12.009524521272638,0.3966778064220251,715,1
93,11.332455410116081,0.39271102835780486,827,1
94,30.179318804518132,0.3887839180742268,827,3
95,30.15059819048138,0.38489607889348454,827,3
96,20.165458292510813,0.38104711810454966,827,2
97,30.206620078889024,0.37723664692350417,827,3
98,30.173630919418386,0.37346428045426916,827,3
99,20.17950566419025,0.36972963764972644,827,2
100,30.126102220413355,0.3660323412732292,827,3
101,21.48358303806793,0.3623720178604969,827,2
102,30.125184376475495,0.3587482976818919,827,3
103,11.36226496527117,0.355160814705073,658,1
104,20.167544384467842,0.35160920655802225,658,2
105,21.478499287837224,0.348093114492442,827,2
106,20.15053561656962,0.3446121833475176,827,2
107,20.165408018972208,0.34116606151404244,827,2
108,21.41030570805083,0.337754400898902,827,2
109,21.459284203735667,0.334376856889913,827,2
110,30.158967033475808,0.33103308832101386,827,3
111,11.611587160329618,0.3277227574378037,827,1
112,30.149874793389202,0.3244455298634257,827,3
113,20.844515630283432,0.3212010745647914,827,2
114,30.184102700282857,0.3179890638191435,827,3
115,20.282872359424676,0.31480917318095203,827,2
116,30.16571205295679,0.3116610814491425,827,3
117,10.128820191322378,0.30854447063465107,827,1
118,20.15407242435073,0.3054590259283046,827,2
119,20.170234624960692,0.30240443566902153,827,2
120,30.119288057561736,0.2993803913123313,827,3
121,20.162638068237136,0.296386587399208,827,2
122,20.426468243893762,0.2934227215252159,827,2
123,30.144314624598078,0.29048849430996376,827,3
124,21.302289045264768,0.2875836093668641,827,2
125,30.109154353573146,0.28470777327319546,827,3
126,10.674153053009192,0.2818606955404635,827,1
127,10.197190309369871,0.27904208858505886,827,1
128,30.116306993078037,0.2762516676992083,827,3
129,30.166798842408536,0.2734891510222162,827,3
130,10.226841451231637,0.27075425951199406,658,1
131,20.26210965113861,0.2680467169168741,658,2
132,20.62776675467457,0.26536624974770534,658,2
133,30.04944067957059,0.2627125872502283,827,3
134,30.1224459589339,0.26008546137772603,827,3
135,12.517233857593626,0.25748460676394874,789,1
136,30.06597497608901,0.2549097606963093,827,3
137,10.168536098806326,0.2523606630893462,827,1
138,30.142539790334084,0.2498370564584527,827,3
139,10.104976198674263,0.24733868589386818,827,1
140,10.392091905292395,0.24486529903492948,827,1
141,30.154583098843766,0.2424166460445802,827,3
142,30.07212903337618,0.2399924795841344,827,3
143,20.980317587334092,0.23759255478829303,768,2
144,10.611244518448352,0.23521662924041012,658,1
145,21.00221629796338,0.232864462948006,827,2
146,30.165933406099292,0.23053581831852593,827,3
147,11.030127263545173,0.22823046013534068,631,1
148,21.047104871764066,0.22594815553398728,827,2
149,30.18498759076177,0.2236886739786474,827,3
150,30.1614710446874,0.22145178723886091,827,3
151,30.054818521600595,0.2192372693664723,827,3
152,12.067722699135798,0.21704489667280757,827,1
153,30.10573173576321,0.2148744477060795,827,3
154,10.917881615855048,0.2127257032290187,827,1
155,10.165525096420424,0.21059844619672852,827,1
156,30.11612312630548,0.20849246173476124,827,3
157,20.163079088132626,0.2064075371174136,827,2
158,20.673381345385252,0.2043434617462395,676,2
159,30.170234624960692,0.2023000271287771,827,3
160,30.14473001079628,0.2002770268574893,827,3
161,30.098052945898072,0.19827425658891443,827,3
162,30.168136487102696,0.19629151402302528,827,3
163,30.067335151616902,0.19432859888279502,827,3
164,20.18035298544756,0.19238531289396707,827,2
165,30.122646198565388,0.1904614597650274,827,3
166,11.060047514105396,0.1885568451673771,637,1
167,20.84556375170298,0.18667127671570335,723,2
168,20.799745893518356,0.1848045639485463,827,2
169,20.12578763021437,0.18295651830906084,827,2
170,30.09033036910154,0.18112695312597024,827,3
171,10.161459338392818,0.17931568359471053,827,1
172,20.326830738360623,0.17752252675876343,658,2
173,20.23359524003873,0.1757473014911758,827,2
174,20.126805570650355,0.173989828476264,827,2
175,30.05319592117285,0.1722499301915014,827,3
176,0.9537215829308046,0.17052743088958636,754,0
177,30.114886052547252,0.1688221565806905,827,3
178,30.099401970114943,0.1671339350148836,827,3
179,10.188209301856118,0.16546259566473476,827,1
180,30.100202097751325,0.16380796970808742,827,3
181,30.14866236931843,0.16216989001100654,827,3
182,10.138145358480578,0.16054819111089647,827,1
183,30.149502200266422,0.1589427091997875,827,3
184,10.738743388365634,0.15735328210778962,674,1
185,30.07305864266572,0.15577974928671173,827,3
186,30.110836630589475,0.1542219517938446,827,3
187,10.183404840023716,0.15267973227590617,827,1
188,30.12577356060004,0.1511529349531471,827,3
189,0.052459580687800815,0.14964140560361563,228,0
190,0.08849794153728502,0.14814499154757946,319,0
191,20.178678391181183,0.14666354163210368,658,2
192,0.13603836084948417,0.14519690621578263,429,0
193,0.7024615511756767,0.1437449371536248,647,0
194,0.08579291402113415,0.14230748778208857,413,0
195,0.17815916322157693,0.14088441290426768,403,0
196,0.1051933316650464,0.139475568775225,369,0
197,1.0988941667751826,0.13808081308747275,631,0
198,0.3537250434838888,0.136700004956598,540,0
199,10.172916152869568,0.13533300490703204,658,1
200,0.2627443906246761,0.13397967485796172,491,0
201,0.5900782255782224,0.1326398781093821,622,0
202,0.08579291402113415,0.13131347932828827,389,0
203,10.13619830437865,0.1300003445350054,658,1
204,10.173588549979078,0.12870034108965533,827,1
205,0.38855557986004197,0.1274133376787588,552,0
206,10.110314747016181,0.12613920430197118,658,1
207,0.5627424201368002,0.12487781225895148,613,0
208,0.16218215206360082,0.12362903413636196,474,0
209,10.261784910487473,0.12239274379499834,631,1
210,0.05565550186065175,0.12116881635704835,192,0
211,10.507299729277129,0.11995712819347787,658,1
212,0.08579291402113415,0.11875755691154309,331,0
213,10.847567045049326,0.11756998134242766,706,1
