Episode Number,Score,Epsilon Value,Number of Actions,Missed Deliveries
0,12.682092370707142,1.0,827,1
1,20.418372660699266,0.995,827,2
2,20.19709424856842,0.990025,658,2
3,10.339730125214848,0.985074875,631,1
4,10.949767474575209,0.980149500625,827,1
5,30.3007209362303,0.975248753121875,827,3
6,20.2684097365417,0.9703725093562656,827,2
7,30.286291673800623,0.9655206468094842,827,3
8,0.5281146911643744,0.9606930435754368,590,0
9,10.22516360178319,0.9558895783575596,631,1
10,30.231076069780457,0.9511101304657719,827,3
11,20.27713996357865,0.946354579813443,827,2
12,1.2409484724322237,0.9416228069143757,521,0
13,0.8868267507843023,0.9369146928798039,552,0
14,21.024639857236355,0.9322301194154049,827,2
15,30.223041155227854,0.9275689688183278,827,3
16,10.229404878037167,0.9229311239742362,658,1
17,10.125585512770776,0.918316468354365,658,1
18,20.425926821708416,0.9137248860125932,827,2
19,21.85127658178436,0.9091562615825302,827,2
20,2.0942471792341504,0.9046104802746175,708,0
21,20.315202689140254,0.9000874278732445,827,2
22,30.296325851510943,0.8955869907338783,827,3
23,20.218046330169543,0.8911090557802088,827,2
24,21.734044049538763,0.8866535105013078,827,2
25,20.277187883643645,0.8822202429488012,827,2
26,11.845103182783507,0.8778091417340572,827,1
27,20.31052664620181,0.873420096025387,827,2
28,30.204398954240485,0.86905299554526,827,3
29,20.538753707444116,0.8647077305675337,658,2
30,30.321989497994554,0.8603841919146961,827,3
31,20.25985037409715,0.8560822709551226,827,2
32,10.754329105195131,0.8518018596003469,640,1
33,10.265381648984725,0.8475428503023452,827,1
34,11.601909397957398,0.8433051360508335,827,1
35,20.2323285318151,0.8390886103705792,658,2
36,0.5146402503375593,0.8348931673187264,567,0
37,11.139001094916761,0.8307187014821328,777,1
38,10.955849902407667,0.826565107974722,827,1
39,10.301451832905247,0.8224322824348484,827,1
40,20.52498131309904,0.8183201210226743,658,2
41,20.323946391712962,0.8142285204175609,827,2
42,20.226388184015494,0.810157377815473,658,2
43,20.245251567597705,0.8061065909263957,658,2
44,10.313112248778715,0.8020760579717637,631,1
45,1.0098689838113581,0.7980656776819048,677,0
46,20.292223212628826,0.7940753492934953,827,2
47,20.750181126783232,0.7901049725470278,827,2
48,20.23063214839534,0.7861544476842928,658,2
49,20.331508615356796,0.7822236754458712,827,2
50,20.307978385432904,0.7783125570686419,827,2
51,20.30471415033879,0.7744209942832987,827,2
52,30.292073114170453,0.7705488893118821,827,3
53,10.330587909015456,0.7666961448653228,827,1
54,30.30662514523077,0.7628626641409961,827,3
55,30.348607878712354,0.7590483508202912,827,3
56,21.195202439544357,0.7552531090661897,827,2
57,10.281094755157444,0.7514768435208588,827,1
58,10.312559047378716,0.7477194593032545,827,1
59,11.847360975956855,0.7439808620067382,827,1
60,10.338571907018599,0.7402609576967045,827,1
61,11.557746135858954,0.736559652908221,827,1
62,20.648966469975118,0.7328768546436799,827,2
63,11.182807103911514,0.7292124703704614,797,1
64,0.5031012162994123,0.7255664080186092,551,0
65,11.298181687125846,0.7219385759785161,658,1
66,11.683433730533885,0.7183288830986235,827,1
67,20.44274776495698,0.7147372386831304,658,2
68,20.681966541541964,0.7111635524897147,827,2
69,20.314459088253503,0.7076077347272661,827,2
70,20.691723050777036,0.7040696960536298,827,2
71,20.871955869579985,0.7005493475733616,827,2
72,20.38380361564173,0.6970466008354949,827,2
73,10.23003398485693,0.6935613678313174,658,1
74,10.327087726497695,0.6900935609921608,827,1
75,12.960995621410587,0.6866430931872,827,1
76,10.260531626813307,0.683209877721264,658,1
77,20.434264482464954,0.6797938283326577,827,2
78,30.319332827109896,0.6763948591909944,827,3
79,10.771976714530137,0.6730128848950394,827,1
80,20.704721185023466,0.6696478204705641,827,2
81,30.338885588179025,0.6662995813682113,827,3
82,11.242935010136804,0.6629680834613703,827,1
83,20.324664929800157,0.6596532430440635,827,2
84,30.331115998155354,0.6563549768288431,827,3
85,20.35225763171206,0.6530732019446989,827,2
86,20.49366420788104,0.6498078359349754,827,2
87,30.337543557057145,0.6465587967553006,827,3
88,10.332310278838161,0.6433260027715241,827,1
89,30.322130521462682,0.6401093727576664,827,3
90,20.329461901323242,0.6369088258938781,827,2
91,30.342245135435558,0.6337242817644086,827,3
92,20.320392529976232,0.6305556603555866,827,2
93,30.28682540947389,0.6274028820538087,827,3
94,11.83843397726877,0.6242658676435396,827,1
95,11.632573661717718,0.6211445383053219,827,1
96,20.340115074763688,0.6180388156137954,827,2
97,21.67846953700766,0.6149486215357264,827,2
98,30.323188891654343,0.6118738784280477,827,3
99,30.2770420728882,0.6088145090359075,827,3
100,30.327173302802404,0.6057704364907279,827,3
101,30.345894330241816,0.6027415843082743,827,3
102,30.32449699874735,0.599727876386733,827,3
103,30.293404573204796,0.5967292370047993,827,3
104,30.319616256949832,0.5937455908197753,827,3
105,30.3622464434986,0.5907768628656764,827,3
106,20.89924282483383,0.587822978551348,827,2
107,11.456389696434949,0.5848838636585912,827,1
108,10.423889959172449,0.5819594443402983,658,1
109,30.321324991544437,0.5790496471185969,827,3
110,30.308915573640604,0.5761543988830038,827,3
111,30.345073458109713,0.5732736268885888,827,3
112,10.27774743330279,0.5704072587541459,658,1
113,30.359040645920167,0.5675552224603752,827,3
114,20.32008706685705,0.5647174463480732,827,2
115,21.599456281743286,0.5618938591163328,827,2
116,11.49002240243973,0.5590843898207511,827,1
117,10.896253958861712,0.5562889678716475,686,1
118,30.30502379196739,0.5535075230322892,827,3
119,30.322973500961762,0.5507399854171278,827,3
120,21.025891244293003,0.5479862854900421,827,2
121,10.267921689406483,0.5452463540625919,658,1
122,20.82519047909189,0.542520122292279,669,2
123,30.30493661371555,0.5398075216808176,827,3
124,30.332015927934986,0.5371084840724134,827,3
125,30.32850407404234,0.5344229416520514,827,3
126,30.325462946632566,0.5317508269437912,827,3
127,30.300420405799507,0.5290920728090721,827,3
128,11.154528296357512,0.5264466124450268,827,1
129,21.582584624615613,0.5238143793828016,827,2
130,10.331514224975422,0.5211953074858876,827,1
131,10.268410545942622,0.5185893309484582,658,1
132,10.302530093522217,0.515996384293716,827,1
133,30.28344661538445,0.5134164023722474,827,3
134,20.8957979744334,0.5108493203603861,688,2
135,20.63102504484356,0.5082950737585842,827,2
136,30.31795281297643,0.5057535983897913,827,3
137,20.84037108611695,0.5032248303978423,669,2
138,10.330685365319678,0.5007087062458531,827,1
139,20.25777810901231,0.4982051627146238,658,2
140,21.22314940340798,0.4957141369010507,792,2
141,10.515837118902937,0.4932355662165454,827,1
142,20.325724618653908,0.4907693883854627,827,2
143,21.434873735442853,0.4883155414435354,827,2
144,11.20958969274146,0.4858739637363177,658,1
145,10.272164364923404,0.4834445939176361,631,1
146,10.293010479518333,0.4810273709480479,827,1
147,11.847499537453462,0.4786222340933077,827,1
148,30.31820710556529,0.47622912292284114,827,3
149,30.30958642887813,0.4738479773082269,827,3
150,30.30803194117595,0.4714787374216858,827,3
151,30.288396960977824,0.46912134373457737,827,3
152,30.286416070437816,0.46677573701590447,827,3
153,30.298962926119508,0.46444185833082496,827,3
154,30.3410976988253,0.46211964903917085,827,3
155,30.307795696398678,0.459809050793975,827,3
156,30.280192897741024,0.4575100055400051,827,3
157,30.313605808140043,0.45522245551230506,827,3
158,30.268856503875618,0.45294634323474353,827,3
159,30.296817351398253,0.45068161151856984,827,3
160,30.301234010259506,0.44842820346097695,827,3
161,30.34275970053506,0.4461860624436721,827,3
162,30.299183769895645,0.4439551321314537,827,3
163,30.296370295474638,0.4417353564707965,827,3
164,30.336373820639277,0.43952667968844245,827,3
165,30.2807198575022,0.43732904629000025,827,3
166,30.271526090805857,0.43514240105855023,827,3
167,30.311342660721998,0.4329666890532575,827,3
168,30.28674782012014,0.4308018556079912,827,3
169,10.393651731688578,0.42864784632995123,631,1
170,30.296413391463204,0.4265046070983015,827,3
171,30.284834616468874,0.42437208406280996,827,3
172,30.328929350191228,0.4222502236424959,827,3
173,30.30850295852513,0.42013897252428345,827,3
174,20.332065158208994,0.418038277661662,827,2
175,20.244280033690764,0.4159480862733537,658,2
176,30.31275050132484,0.41386834584198695,827,3
177,30.31288902724718,0.41179900411277703,827,3
178,20.58014102844894,0.40974000909221314,827,2
179,30.305169310984724,0.40769130904675205,827,3
180,30.30249064360992,0.4056528525015183,827,3
181,30.30731193815379,0.4036245882390107,827,3
182,30.31961534733859,0.40160646529781563,827,3
183,30.326665527025607,0.3995984329713266,827,3
184,21.85515989641156,0.39760044080646995,827,2
185,30.343335563487514,0.39561243860243755,827,3
186,30.32545192870508,0.3936343764094254,827,3
187,20.233637706342282,0.39166620452737827,658,2
188,10.916140105722226,0.3897078735047414,690,1
189,30.293157006299023,0.38775933413721764,827,3
190,30.25781789934204,0.38582053746653155,827,3
191,10.501382841486336,0.3838914347791989,827,1
192,30.29235632266104,0.38197197760530294,827,3
193,30.26054944322375,0.3800621177172764,827,3
194,30.317960353514756,0.37816180712869,827,3
195,30.259620329557805,0.37627099809304654,827,3
196,30.32219264432787,0.3743896431025813,827,3
197,21.41392132717506,0.37251769488706843,827,2
198,30.341152768520356,0.37065510641263305,827,3
199,30.19512465063821,0.3688018308805699,827,3
200,30.26520518493069,0.36695782172616703,827,3
201,30.142914006319963,0.3651230326175362,827,3
202,30.239741681618636,0.36329741745444855,827,3
