Episode Number,Score,Epsilon Value,Number of Actions,Missed Deliveries
0,0.23662340913009275,1.0,116,0
1,1.2996089343898918,0.98,460,0
2,0.35705948005771815,0.9603999999999999,195,0
3,0.37324681826018546,0.9411919999999999,177,0
4,11.3857585065348,0.9223681599999999,667,1
5,0.7893908989260787,0.9039207967999999,385,0
6,0.21831170456504642,0.8858423808639999,96,0
7,1.1228557526500766,0.8681255332467199,445,0
8,11.312333166649303,0.8507630225817855,667,1
9,0.23662340913009275,0.8337477621301498,114,0
10,0.23662340913009275,0.8170728068875467,117,0
11,0.17852974002885907,0.8007313507497958,100,0
12,1.2434215961874244,0.7847167237347998,478,0
13,0.752342401826392,0.7690223892601038,393,0
14,0.21302878279637275,0.7536419414749017,109,0
15,1.5003495558544775,0.7385691026454038,518,0
16,0.2968414445939054,0.7237977205924956,160,0
17,1.2022991442898179,0.7093217661806457,487,0
18,1.1153711846227647,0.6951353308570327,468,0
19,11.146324350072149,0.6812326242398921,667,1
20,11.182778472754016,0.6676079717550942,667,1
21,0.2785297400288591,0.6542558123199923,141,0
22,0.21302878279637275,0.6411706960735924,116,0
23,0.3602180354638127,0.6283472821521207,184,0
24,0.6828217302905913,0.6157803365090783,377,0
25,0.4387477754926718,0.6034647297788966,306,0
26,0.2549351136951391,0.5913954351833187,138,0
